Date,Timestamp,,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (kph),Distance (km),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/km)
2021-08-01,18:34,-04),30,Cycling,Theme,30 min Feel Good Ride,2021-08-01 10:30 (-04),233,129,39%,72,28.61,14.31,422,148.76,,
2021-08-02,13:30,-04),30,Cycling,Music,30 min EDM Ride,2021-08-02 13:25 (-04),251,140,41%,70,29.6,14.81,438,148.97,,
2021-08-05,17:51,-04),30,Cycling,Theme,30 min Sweat Steady Ride,2021-07-31 11:24 (-04),255,142,41%,66,29.26,14.64,401,144.25,,
2021-08-16,16:00,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-08-13 10:07 (-04),46,154,34%,86,30.8,2.56,59,128.35,,
2021-08-16,16:06,-04),20,Cycling,Music,20 min EDM Trap Ride,2021-08-09 17:00 (-04),174,145,40%,71,29.89,9.98,323,162.13,,
2021-08-16,16:26,-04),10,Cycling,Warm Up/Cool Down,10 min Cool Down Ride,2021-07-18 14:00 (-04),51,86,34%,63,24.24,4.04,130,141.92,,
2021-08-22,15:53,-04),45,Cycling,Music,45 min Hip Hop Ride,2021-08-18 11:26 (-04),331,122,38%,71,27.89,20.94,684,155.97,,
2021-08-23,19:07,-04),45,Cycling,Music,45 min EDM Ride,2021-08-23 13:25 (-04),375,139,39%,72,29.4,22.06,720,161.19,,
2021-08-25,18:26,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-08-13 13:35 (-04),34,105,28%,83,26.18,2.25,47,119.22,,
2021-08-25,18:31,-04),30,Cycling,Music,30 min Hip Hop Ride,2021-08-23 16:30 (-04),267,148,39%,75,30.43,15.22,483,161.86,,
2021-08-25,19:02,-04),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-07-23 09:00 (-04),32,109,38%,65,26.89,2.22,75,155.89,,
2021-08-29,16:09,-04),60,Cycling,Theme,60 min Feel Good Ride,2021-07-18 11:50 (-04),455,126,39%,70,28.52,28.52,813,145.47,,
2021-09-09,17:29,-04),30,Cycling,Music,30 min EDM Ride,2021-09-06 17:00 (-04),249,138,42%,68,29.47,14.74,479,160.92,,
2021-09-14,18:56,-04),30,Cycling,Music,30 min House Ride,2021-09-01 11:26 (-04),231,128,40%,68,28.6,14.31,451,155.06,,
2022-01-03,16:59,-05),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-12-23 11:00 (-05),28,92,31%,95,24.59,2.04,41,110.15,,
2022-01-03,17:04,-05),20,Cycling,Music,20 min Hip Hop Ride,2021-12-13 09:56 (-05),120,100,39%,76,25.64,8.55,304,154.88,,
2022-01-03,17:24,-05),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-09-08 08:00 (-05),21,70,34%,75,22.21,1.83,67,145.65,,
2022-01-03,17:31,-05),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-10-14 10:00 (-05),,,,,,,60,135.83,,
2022-01-04,17:29,-05),30,Cycling,Theme,30 min Turn It Up: New Year Special,2021-12-28 13:55 (-05),182,101,42%,70,25.78,12.89,461,150.94,,
2022-01-06,18:13,-05),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2022-01-06 11:00 (-05),23,76,31%,84,22.6,1.87,31,77.08,,
2022-01-06,18:18,-05),30,Cycling,Music,30 min EDM Ride,2022-01-05 16:53 (-05),180,100,40%,75,25.52,12.78,469,160.88,,
2022-01-06,18:48,-05),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2022-01-06 11:00 (-05),11,37,23%,82,16.29,1.35,63,142.49,,
2022-01-08,14:36,-05),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2022-01-04 11:00 (-05),20,68,33%,74,21.97,1.82,28,69.84,,
2022-01-08,14:42,-05),45,Cycling,Theme,45 min Halloween Ride,2021-10-30 08:24 (-05),283,105,41%,75,26.15,19.62,725,162.82,,
2022-01-08,15:27,-05),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-12-14 11:00 (-05),14,45,28%,76,18.31,1.51,63,142.21,,
